id;cut_off_date;additional_comment;created;work_orders;total_amount
1;2020-06-08;lime Ergonomic Steel Shoes;2020-06-07;54966;91937
2;2020-06-07;Industrial dedicated CSS;2020-06-07;5956;87546
3;2020-06-08;markets neural Accountability;2020-06-07;39832;33191
4;2020-06-07;Handmade Frozen copying;2020-06-08;94821;46371
5;2020-06-07;Fantastic bleeding-edge;2020-06-08;13117;57919
6;2020-06-08;AGP Legacy Kids;2020-06-08;86248;44252
7;2020-06-08;Assimilated;2020-06-08;71153;76353
8;2020-06-08;National Ergonomic;2020-06-07;84388;11637
9;2020-06-08;yellow compressing;2020-06-08;99347;34260
10;2020-06-07;Hawaii;2020-06-07;35342;33579
