id;cut_off_date;additional_comment;created;work_orders;total_amount
1;2020-06-23;lime Ergonomic Steel Shoes;2020-06-22;54966;91937
2;2020-06-22;Industrial dedicated CSS;2020-06-22;5956;87546
3;2020-06-23;markets neural Accountability;2020-06-22;39832;33191
4;2020-06-22;Handmade Frozen copying;2020-06-23;94821;46371
5;2020-06-22;Fantastic bleeding-edge;2020-06-23;13117;57919
6;2020-06-23;AGP Legacy Kids;2020-06-23;86248;44252
7;2020-06-22;Assimilated;2020-06-23;71153;76353
8;2020-06-23;National Ergonomic;2020-06-22;84388;11637
9;2020-06-23;yellow compressing;2020-06-23;99347;34260
10;2020-06-22;Hawaii;2020-06-22;35342;33579
